Province,MONTH,TAVG,TMAX,TMIN,,
CQ,2023/11,13.3,18.2,8.5,,
CQ,2023/12,8.7,12.5,4.9,,
CQ,2024/01,7.7,10.9,4.6,,
CQ,2024/02,10.1,14.1,6.1,,
CQ,2024/03,15,20,10,,
CQ,2024/04,18.3,23,13.5,,
CQ,2024/05,22.3,27.7,17,,
CQ,2024/06,25.6,30.4,20.8,,
CQ,2024/07,28.5,33.5,23.6,,
CQ,2024/08,30.2,35.8,24.6,,
CQ,2024/09,25.3,30.8,19.9,,
CQ,2024/10,19.3,24.4,14.2,,
CQ,2024/11,13.5,18.4,8.7,,
CQ,2024/12,8.9,12.7,5.1,,
FJ,2023/01,14.2,18.7,9.8,,
FJ,2023/02,14.8,19.2,10.4,,
FJ,2023/03,17.3,22.4,12.3,,
FJ,2023/04,21.2,26.3,16.1,,
FJ,2023/05,24.9,30.3,19.5,,
FJ,2023/06,27.8,32.8,22.7,,
FJ,2023/07,29.5,34.4,24.6,,
FJ,2023/08,29.1,33.8,24.4,,
FJ,2023/09,27.3,32.2,22.3,,
FJ,2023/10,23.1,28.3,18,,
FJ,2023/11,18.4,23.7,13.1,,
FJ,2023/12,14.2,19.1,9.4,,
FJ,2024/01,14.5,19,10.1,,
FJ,2024/02,14.7,19.1,10.3,,
FJ,2024/03,17.2,22.3,12.2,,
FJ,2024/04,21.4,26.5,16.3,,
FJ,2024/05,25,30.4,19.6,,
FJ,2024/06,27.9,33,22.9,,
FJ,2024/07,29.6,34.5,24.7,,
FJ,2024/08,29.2,33.9,24.5,,
FJ,2024/09,27.4,32.4,22.5,,
FJ,2024/10,23.2,28.4,18.1,,
FJ,2024/11,18.6,23.9,13.3,,
FJ,2024/12,14.4,19.3,9.6,,
GS,2023/01,-5.3,2.1,-12.7,,
GS,2023/02,-0.8,6.5,-8.1,,
GS,2023/03,5.9,13.2,-1.5,,
GS,2023/04,11.1,19.1,3.1,,
GS,2023/05,16.4,24.5,8.2,,
GS,2023/06,20.3,28.1,12.4,,
GS,2023/07,22.5,29.9,15.1,,
GS,2023/08,21.4,28.6,14.1,,
GS,2023/09,16.4,24.3,8.5,,
GS,2023/10,9.5,17.5,1.4,,
GS,2023/11,0.3,8.4,-7.9,,
GS,2023/12,-6.3,1,-13.5,,
GS,2024/01,-4.9,2.5,-12.3,,
GS,2024/02,-1.2,6.1,-8.4,,
GS,2024/03,5.7,13,-1.7,,
GS,2024/04,11.3,19.3,3.3,,
GS,2024/05,16.5,24.6,8.3,,
GS,2024/06,20.4,28.2,12.5,,
GS,2024/07,22.6,30,15.2,,
GS,2024/08,21.5,28.7,14.2,,
GS,2024/09,16.5,24.4,8.6,,
GS,2024/10,9.7,17.7,1.6,,
GS,2024/11,0.5,8.6,-7.7,,
GS,2024/12,-6,1.3,-13.2,,
GD,2023/01,16.4,21.5,11.2,,
GD,2023/02,18.1,23.2,13,,
GD,2023/03,20.5,25.6,15.4,,
GD,2023/04,23.9,29.2,18.7,,
GD,2023/05,26.3,31.5,21.1,,
GD,2023/06,28.1,32.7,23.5,,
GD,2023/07,28.9,33.3,24.5,,
GD,2023/08,28.6,33.1,24.1,,
GD,2023/09,27.7,32.3,23.1,,
GD,2023/10,24.7,30,19.5,,
GD,2023/11,20.9,26.6,15.3,,
GD,2023/12,16.7,22.4,11,,
GD,2024/01,16.6,21.7,11.4,,
GD,2024/02,18,23.1,12.9,,
GD,2024/03,20.4,25.5,15.3,,
GD,2024/04,24,29.3,18.8,,
GD,2024/05,26.4,31.6,21.2,,
GD,2024/06,28.2,32.8,23.6,,
GD,2024/07,29,33.4,24.6,,
GD,2024/08,28.7,33.2,24.2,,
GD,2024/09,27.8,32.4,23.2,,
GD,2024/10,24.8,30.1,19.6,,
GD,2024/11,21,26.7,15.4,,
GD,2024/12,16.9,22.6,11.2,,
GX,2023/01,13.8,19.4,8.2,,
GX,2023/02,17.1,23,11.1,,
GX,2023/03,19.7,25.8,13.6,,
GX,2023/04,22.9,28.9,16.9,,
GX,2023/05,25.3,31.1,19.5,,
GX,2023/06,27.2,32.5,22,,
GX,2023/07,27.6,32.8,22.4,,
GX,2023/08,27.4,32.6,22.2,,
GX,2023/09,26.4,31.6,21.2,,
GX,2023/10,22.7,28.3,17.1,,
GX,2023/11,18.3,24.2,12.4,,
GX,2023/12,13.8,19.6,8,,
GX,2024/01,14,19.6,8.4,,
GX,2024/02,17,22.9,11,,
GX,2024/03,19.6,25.7,13.5,,
GX,2024/04,23,29,17,,
GX,2024/05,25.4,31.2,19.6,,
GX,2024/06,27.3,32.6,22.1,,
GX,2024/07,27.7,32.9,22.5,,
GX,2024/08,27.5,32.7,22.3,,
GX,2024/09,26.5,31.7,21.3,,
GX,2024/10,22.8,28.4,17.2,,
GX,2024/11,18.4,24.3,12.5,,
GX,2024/12,14,19.8,8.2,,
GZ,2023/01,7.6,13.2,2,,
GZ,2023/02,9.8,15.5,4.1,,
GZ,2023/03,14.1,19.9,8.3,,
GZ,2023/04,17.4,23,11.8,,
GZ,2023/05,21.1,26.5,15.7,,
GZ,2023/06,24.5,29.7,19.2,,
GZ,2023/07,25.7,30.6,20.7,,
GZ,2023/08,25.3,30.2,20.4,,
GZ,2023/09,22.3,27.3,17.2,,
GZ,2023/10,17.5,22.9,12.1,,
GZ,2023/11,11.9,17.7,6.1,,
GZ,2023/12,7.2,13,1.4,,
GZ,2024/01,7.8,13.4,2.2,,
GZ,2024/02,9.7,15.4,4,,
GZ,2024/03,14,19.8,8.2,,
GZ,2024/04,17.5,23.1,11.9,,
GZ,2024/05,21.2,26.6,15.8,,
GZ,2024/06,24.6,29.8,19.3,,
GZ,2024/07,25.8,30.7,20.8,,
GZ,2024/08,25.4,30.3,20.5,,
GZ,2024/09,22.4,27.4,17.3,,
GZ,2024/10,17.7,23.1,12.3,,
GZ,2024/11,12.1,17.9,6.3,,
GZ,2024/12,7.4,13.2,1.6,,
HI,2023/01,19.5,23.7,15.3,,
HI,2023/02,20.8,24.9,16.6,,
HI,2023/03,23,27.2,18.8,,
HI,2023/04,25.7,29.8,21.6,,
HI,2023/05,28.3,32.4,24.2,,
HI,2023/06,28.9,32.8,25,,
HI,2023/07,29.1,32.9,25.3,,
HI,2023/08,28.9,32.7,25.1,,
HI,2023/09,28.2,32,24.4,,
HI,2023/10,26.4,30.4,22.4,,
HI,2023/11,23.6,27.9,19.4,,
HI,2023/12,20.3,24.7,15.9,,
HI,2024/01,19.7,23.9,15.5,,
HI,2024/02,20.7,24.8,16.5,,
HI,2024/03,22.9,27.1,18.7,,
HI,2024/04,25.8,29.9,21.7,,
HI,2024/05,28.4,32.5,24.3,,
HI,2024/06,29,32.9,25.1,,
HI,2024/07,29.2,33,25.4,,
HI,2024/08,29,32.8,25.2,,
HI,2024/09,28.3,32.1,24.5,,
HI,2024/10,26.5,30.5,22.5,,
HI,2024/11,23.8,28.1,19.6,,
HI,2024/12,20.4,24.8,16,,
HE,2023/01,-2.9,3.4,-9.1,,
HE,2023/02,1.5,7.9,-4.9,,
HE,2023/03,8.8,15.4,2.3,,
HE,2023/04,15.7,22.5,8.9,,
HE,2023/05,21.6,28.4,14.8,,
HE,2023/06,26.3,32.4,20.2,,
HE,2023/07,27.9,33.3,22.6,,
HE,2023/08,26.5,32,21,,
HE,2023/09,21.6,27.6,15.6,,
HE,2023/10,14.2,20.4,7.9,,
HE,2023/11,4.9,11.1,-1.3,,
HE,2023/12,-3.1,2.9,-9.1,,
HE,2024/01,-2.5,3.8,-8.7,,
HE,2024/02,1.3,7.7,-5.1,,
HE,2024/03,8.7,15.3,2.2,,
HE,2024/04,15.9,22.7,9.1,,
HE,2024/05,21.7,28.5,14.9,,
HE,2024/06,26.4,32.5,20.3,,
HE,2024/07,28,33.4,22.7,,
HE,2024/08,26.7,32.2,21.2,,
HE,2024/09,21.8,27.8,15.8,,
HE,2024/10,14.4,20.6,8.1,,
HE,2024/11,5.1,11.3,-1.1,,
HE,2024/12,-2.8,3.2,-8.8,,
HL,2023/01,-18.3,-11.5,-25.1,,
HL,2023/02,-13.2,-5.8,-20.5,,
HL,2023/03,-2.3,4.7,-9.3,,
HL,2023/04,7.5,15,0,,
HL,2023/05,15.5,22.7,8.3,,
HL,2023/06,20.5,27.3,13.7,,
HL,2023/07,22.9,29.3,16.6,,
HL,2023/08,21.1,27.5,14.8,,
HL,2023/09,14.2,21.1,7.3,,
HL,2023/10,5.4,12.5,-1.8,,
HL,2023/11,-7.3,-0.2,-14.5,,
HL,2023/12,-17.6,-10.5,-24.7,,
HL,2024/01,-17.8,-11,-24.6,,
HL,2024/02,-13.4,-6,-20.7,,
HL,2024/03,-2.5,4.5,-9.5,,
HL,2024/04,7.7,15.2,0.2,,
HL,2024/05,15.6,22.8,8.4,,
HL,2024/06,20.6,27.4,13.8,,
HL,2024/07,23,29.4,16.7,,
HL,2024/08,21.3,27.7,15,,
HL,2024/09,14.4,21.3,7.5,,
HL,2024/10,5.6,12.7,-1.6,,
HL,2024/11,-7.1,0,-14.3,,
HL,2024/12,-17.2,-10.1,-24.3,,
HA,2023/01,1.2,7.1,-4.7,,
HA,2023/02,5.2,11.1,-0.7,,
HA,2023/03,11.7,17.9,5.6,,
HA,2023/04,16.9,22.8,10.9,,
HA,2023/05,22.3,28.3,16.2,,
HA,2023/06,26.4,31.9,20.9,,
HA,2023/07,28.2,33.1,23.3,,
HA,2023/08,26.9,31.8,22,,
HA,2023/09,22.2,27.8,16.7,,
HA,2023/10,16.3,22.1,10.4,,
HA,2023/11,8.4,14.4,2.4,,
HA,2023/12,1.8,7.5,-3.9,,
HA,2024/01,1.6,7.5,-4.3,,
HA,2024/02,5,10.9,-0.9,,
HA,2024/03,11.6,17.8,5.5,,
HA,2024/04,17.1,23,11.1,,
HA,2024/05,22.4,28.4,16.3,,
HA,2024/06,26.5,32,21,,
HA,2024/07,28.3,33.2,23.4,,
HA,2024/08,27.1,32,22.2,,
HA,2024/09,22.4,28,16.9,,
HA,2024/10,16.5,22.3,10.6,,
HA,2024/11,8.6,14.6,2.6,,
HA,2024/12,2.1,7.8,-3.6,,
HK,2023/01,17.4,20.8,14,,
HK,2023/02,18.7,22.1,15.3,,
HK,2023/03,21.2,24.6,17.8,,
HK,2023/04,24.1,27.6,20.7,,
HK,2023/05,26.9,30.3,23.5,,
HK,2023/06,28.5,31.6,25.4,,
HK,2023/07,29.4,32.3,26.5,,
HK,2023/08,29.1,32,26.2,,
HK,2023/09,28.2,31.1,25.3,,
HK,2023/10,25.7,29,22.5,,
HK,2023/11,21.8,25.5,18.1,,
HK,2023/12,18,21.7,14.3,,
HK,2024/01,17.6,21,14.2,,
HK,2024/02,18.6,22,15.2,,
HK,2024/03,21.1,24.5,17.7,,
HK,2024/04,24.2,27.7,20.8,,
HK,2024/05,27,30.4,23.6,,
HK,2024/06,28.6,31.7,25.5,,
HK,2024/07,29.5,32.4,26.6,,
HK,2024/08,29.2,32.1,26.3,,
HK,2024/09,28.3,31.2,25.4,,
HK,2024/10,25.8,29.1,22.6,,
HK,2024/11,21.9,25.6,18.2,,
HK,2024/12,18.2,21.9,14.5,,
HB,2023/01,3.9,8.7,-0.9,,
HB,2023/02,7.3,12.4,2.2,,
HB,2023/03,13.1,18.6,7.6,,
HB,2023/04,17.2,22.6,11.9,,
HB,2023/05,22,27.4,16.5,,
HB,2023/06,25.6,30.4,20.7,,
HB,2023/07,28.7,33.1,24.2,,
HB,2023/08,28.3,32.7,23.9,,
HB,2023/09,23.7,28.7,18.8,,
HB,2023/10,17.1,22.1,12.1,,
HB,2023/11,10.1,15.2,5,,
HB,2023/12,4.5,9.5,-0.5,,
HB,2024/01,4.3,9.1,-0.5,,
HB,2024/02,7.1,12.2,2,,
HB,2024/03,13,18.5,7.5,,
HB,2024/04,17.4,22.8,12.1,,
HB,2024/05,22.1,27.5,16.6,,
HB,2024/06,25.7,30.5,20.8,,
HB,2024/07,28.8,33.2,24.3,,
HB,2024/08,28.5,32.9,24.1,,
HB,2024/09,23.9,28.9,19,,
HB,2024/10,17.3,22.3,12.3,,
HB,2024/11,10.3,15.4,5.2,,
HB,2024/12,4.7,9.7,-0.3,,
HN,2023/01,6,11.3,0.6,,
HN,2023/02,8.5,14,3,,
HN,2023/03,13.8,19.5,8.1,,
HN,2023/04,18.2,23.8,12.7,,
HN,2023/05,22.7,28.2,17.2,,
HN,2023/06,26.2,31.2,21.3,,
HN,2023/07,29.1,33.9,24.4,,
HN,2023/08,28.6,33.3,23.9,,
HN,2023/09,25.1,30.3,19.9,,
HN,2023/10,19,24.4,13.7,,
HN,2023/11,12.6,18.2,7,,
HN,2023/12,6.7,12.3,1.1,,
HN,2024/01,6.3,11.6,0.9,,
HN,2024/02,8.4,13.9,2.9,,
HN,2024/03,13.7,19.4,8,,
HN,2024/04,18.4,24,12.9,,
HN,2024/05,22.8,28.3,17.3,,
HN,2024/06,26.3,31.3,21.4,,
HN,2024/07,29.2,34,24.5,,
HN,2024/08,28.7,33.4,24,,
HN,2024/09,25.2,30.4,20,,
HN,2024/10,19.2,24.6,13.9,,
HN,2024/11,12.8,18.4,7.2,,
HN,2024/12,6.9,12.5,1.3,,
NM,2023/01,-13,1,-27.1,,
NM,2023/02,-7,7.3,-21.3,,
NM,2023/03,3.4,14.1,-7.3,,
NM,2023/04,11.5,22.8,0.1,,
NM,2023/05,18.5,29.5,7.6,,
NM,2023/06,23.5,33.7,13.3,,
NM,2023/07,26,35.1,16.8,,
NM,2023/08,24.1,33,15.2,,
NM,2023/09,17.6,27.5,7.8,,
NM,2023/10,9.5,20.2,-1.2,,
NM,2023/11,-2.7,8.1,-13.4,,
NM,2023/12,-12.1,1.7,-25.8,,
NM,2024/01,-12.5,1.5,-26.6,,
NM,2024/02,-7.2,7.1,-21.5,,
NM,2024/03,3.2,13.9,-7.5,,
NM,2024/04,11.7,23,0.3,,
NM,2024/05,18.6,29.6,7.7,,
NM,2024/06,23.6,33.8,13.4,,
NM,2024/07,26.1,35.2,16.9,,
NM,2024/08,24.3,33.2,15.4,,
NM,2024/09,17.8,27.7,8,,
NM,2024/10,9.7,20.4,-1,,
NM,2024/11,-2.5,8.3,-13.2,,
NM,2024/12,-11.8,2,-25.5,,
JS,2023/01,4.4,9.2,-0.4,,
JS,2023/02,6.7,11.5,1.8,,
JS,2023/03,12.2,17.2,7.1,,
JS,2023/04,16.6,21.5,11.7,,
JS,2023/05,21.3,26.1,16.6,,
JS,2023/06,24.8,29,20.6,,
JS,2023/07,28.9,33,24.8,,
JS,2023/08,28.7,32.7,24.6,,
JS,2023/09,24.9,29.4,20.4,,
JS,2023/10,18.9,23.9,13.9,,
JS,2023/11,11.3,16.6,6.1,,
JS,2023/12,5.2,10.2,0.3,,
JS,2024/01,4.7,9.5,-0.1,,
JS,2024/02,6.5,11.3,1.6,,
JS,2024/03,12.1,17.1,7,,
JS,2024/04,16.8,21.7,11.9,,
JS,2024/05,21.4,26.2,16.7,,
JS,2024/06,24.9,29.1,20.7,,
JS,2024/07,29,33.1,24.9,,
JS,2024/08,28.8,32.8,24.7,,
JS,2024/09,25,29.5,20.5,,
JS,2024/10,19.1,24.1,14.1,,
JS,2024/11,11.5,16.8,6.3,,
JS,2024/12,5.4,10.4,0.5,,
JX,2023/01,9.1,14.1,4.2,,
JX,2023/02,10.2,15.1,5.3,,
JX,2023/03,15.2,20.3,10.1,,
JX,2023/04,19.7,24.9,14.6,,
JX,2023/05,23.6,28.8,18.4,,
JX,2023/06,27.2,32.1,22.3,,
JX,2023/07,29.6,34.3,24.9,,
JX,2023/08,29.5,34.2,24.8,,
JX,2023/09,26,30.9,21.1,,
JX,2023/10,20.2,25.5,14.9,,
JX,2023/11,14.3,19.7,8.9,,
JX,2023/12,9.4,14.9,3.9,,
JX,2024/01,9.3,14.3,4.4,,
JX,2024/02,10.1,15,5.2,,
JX,2024/03,15.1,20.2,10,,
JX,2024/04,19.9,25.1,14.8,,
JX,2024/05,23.7,28.9,18.5,,
JX,2024/06,27.3,32.2,22.4,,
JX,2024/07,29.7,34.4,25,,
JX,2024/08,29.6,34.3,24.9,,
JX,2024/09,26.1,31,21.2,,
JX,2024/10,20.4,25.7,15.1,,
JX,2024/11,14.5,19.9,9.1,,
JX,2024/12,9.6,15.1,4.1,,
JL,2023/01,-13.4,-6.6,-20.2,,
JL,2023/02,-8.1,-0.7,-15.4,,
JL,2023/03,1.3,8.7,-6.1,,
JL,2023/04,10.1,18.2,2,,
JL,2023/05,17.4,25.2,9.5,,
JL,2023/06,22.1,29.5,14.6,,
JL,2023/07,24.3,31.1,17.5,,
JL,2023/08,22.6,29.4,15.9,,
JL,2023/09,16.4,23.8,9,,
JL,2023/10,8.3,16.1,0.4,,
JL,2023/11,-3.1,4.9,-11.1,,
JL,2023/12,-12.3,-5.2,-19.3,,
JL,2024/01,-12.9,-6.1,-19.7,,
JL,2024/02,-8.3,-0.9,-15.6,,
JL,2024/03,1.1,8.5,-6.3,,
JL,2024/04,10.3,18.4,2.2,,
JL,2024/05,17.5,25.3,9.6,,
JL,2024/06,22.2,29.6,14.7,,
JL,2024/07,24.4,31.2,17.6,,
JL,2024/08,22.8,29.6,16.1,,
JL,2024/09,16.6,24,9.2,,
JL,2024/10,8.5,16.3,0.6,,
JL,2024/11,-2.9,5.1,-10.9,,
JL,2024/12,-11.9,-4.8,-18.9,,
LN,2023/01,-9.1,-2.3,-15.8,,
LN,2023/02,-3.6,3.5,-10.6,,
LN,2023/03,4.9,12.3,-2.6,,
LN,2023/04,12.9,20.7,5,,
LN,2023/05,19.2,26.8,11.6,,
LN,2023/06,23.5,30.6,16.4,,
LN,2023/07,25.6,32.1,19,,
LN,2023/08,24,30.5,17.5,,
LN,2023/09,19,25.9,12.1,,
LN,2023/10,11.3,18.6,3.9,,
LN,2023/11,0.5,8,-7,,
LN,2023/12,-8.2,-1.1,-15.2,,
LN,2024/01,-8.6,-1.8,-15.3,,
LN,2024/02,-3.8,3.3,-10.8,,
LN,2024/03,4.8,12.2,-2.7,,
LN,2024/04,13.1,20.9,5.2,,
LN,2024/05,19.3,26.9,11.7,,
LN,2024/06,23.6,30.7,16.5,,
LN,2024/07,25.7,32.2,19.1,,
LN,2024/08,24.2,30.7,17.7,,
LN,2024/09,19.2,26.1,12.3,,
LN,2024/10,11.5,18.8,4.1,,
LN,2024/11,0.7,8.2,-6.8,,
LN,2024/12,-7.8,-0.7,-14.8,,
MO,2023/01,17.3,20.7,13.9,,
MO,2023/02,18.6,22,15.2,,
MO,2023/03,21.1,24.5,17.7,,
MO,2023/04,24,27.5,20.6,,
MO,2023/05,26.8,30.2,23.4,,
MO,2023/06,28.4,31.5,25.3,,
MO,2023/07,29.3,32.2,26.4,,
MO,2023/08,29,31.9,26.1,,
MO,2023/09,28.1,31,25.2,,
MO,2023/10,25.6,28.9,22.4,,
MO,2023/11,21.7,25.4,18,,
MO,2023/12,17.9,21.6,14.2,,
MO,2024/01,17.5,20.9,14.1,,
MO,2024/02,18.5,21.9,15.1,,
MO,2024/03,21,24.4,17.6,,
MO,2024/04,24.1,27.6,20.7,,
MO,2024/05,26.9,30.3,23.5,,
MO,2024/06,28.5,31.6,25.4,,
MO,2024/07,29.4,32.3,26.5,,
MO,2024/08,29.1,32,26.2,,
MO,2024/09,28.2,31.1,25.3,,
MO,2024/10,25.7,29,22.5,,
MO,2024/11,21.8,25.5,18.1,,
MO,2024/12,18.1,21.8,14.4,,
NX,2023/01,-5.9,1.8,-13.5,,
NX,2023/02,-1.6,6,-9.1,,
NX,2023/03,5.1,12.5,-2.4,,
NX,2023/04,10.8,18.8,2.7,,
NX,2023/05,16.2,24.2,8.1,,
NX,2023/06,20.2,28,12.3,,
NX,2023/07,22.5,30,15,,
NX,2023/08,21.2,28.5,13.9,,
NX,2023/09,15.9,23.7,8.1,,
NX,2023/10,8.6,16.8,0.4,,
NX,2023/11,-0.7,7.6,-9,,
NX,2023/12,-6.9,0.7,-14.5,,
NX,2024/01,-5.5,2.2,-13.1,,
NX,2024/02,-1.9,5.7,-9.4,,
NX,2024/03,5,12.4,-2.5,,
NX,2024/04,11,19,2.9,,
NX,2024/05,16.3,24.3,8.2,,
NX,2024/06,20.3,28.1,12.4,,
NX,2024/07,22.6,30.1,15.1,,
NX,2024/08,21.3,28.6,14,,
NX,2024/09,16,23.8,8.2,,
NX,2024/10,8.8,17,0.6,,
NX,2024/11,-0.5,7.8,-8.8,,
NX,2024/12,-6.6,1,-14.2,,
QH,2023/01,-9.2,-1.7,-16.7,,
QH,2023/02,-5.9,1.7,-13.5,,
QH,2023/03,0.1,7.8,-7.6,,
QH,2023/04,5.3,13.4,-2.9,,
QH,2023/05,9.8,17.8,1.7,,
QH,2023/06,14,21.8,6.2,,
QH,2023/07,16.4,23.7,9,,
QH,2023/08,15.3,22.5,8.1,,
QH,2023/09,10.4,18.2,2.6,,
QH,2023/10,3.2,11.3,-4.9,,
QH,2023/11,-5.2,3.1,-13.5,,
QH,2023/12,-10.7,-3,-18.3,,
QH,2024/01,-8.8,-1.3,-16.3,,
QH,2024/02,-6.1,1.5,-13.7,,
QH,2024/03,-0.1,7.6,-7.8,,
QH,2024/04,5.5,13.6,-2.7,,
QH,2024/05,9.9,17.9,1.8,,
QH,2024/06,14.1,21.9,6.3,,
QH,2024/07,16.5,23.8,9.1,,
QH,2024/08,15.4,22.6,8.2,,
QH,2024/09,10.5,18.3,2.7,,
QH,2024/10,3.4,11.5,-4.7,,
QH,2024/11,-5,3.3,-13.3,,
QH,2024/12,-10.4,-2.7,-18,,
SN,2023/01,-1.3,5.2,-7.7,,
SN,2023/02,2.4,9.3,-4.6,,
SN,2023/03,9.4,16.5,2.3,,
SN,2023/04,15.1,22.4,7.7,,
SN,2023/05,19.5,26.9,12.1,,
SN,2023/06,23.6,30.4,16.9,,
SN,2023/07,26.7,33,20.3,,
SN,2023/08,24.9,31.2,18.6,,
SN,2023/09,19.4,26.3,12.5,,
SN,2023/10,13.2,20.3,6.1,,
SN,2023/11,4.9,12.2,-2.4,,
SN,2023/12,-0.8,5.9,-7.6,,
SN,2024/01,-0.9,5.6,-7.3,,
SN,2024/02,2.2,9.1,-4.8,,
SN,2024/03,9.3,16.4,2.2,,
SN,2024/04,15.3,22.6,7.9,,
SN,2024/05,19.6,27,12.2,,
SN,2024/06,23.7,30.5,17,,
SN,2024/07,26.8,33.1,20.4,,
SN,2024/08,25.1,31.4,18.8,,
SN,2024/09,19.6,26.5,12.7,,
SN,2024/10,13.4,20.5,6.3,,
SN,2024/11,5.1,12.4,-2.2,,
SN,2024/12,-0.5,6.2,-7.3,,
SD,2023/01,0.5,7,-6,,
SD,2023/02,4,10.6,-2.6,,
SD,2023/03,10.1,16.9,3.3,,
SD,2023/04,15.7,22.5,8.8,,
SD,2023/05,21.1,27.8,14.3,,
SD,2023/06,25.4,31.3,19.5,,
SD,2023/07,27.6,32.8,22.4,,
SD,2023/08,26.6,31.7,21.5,,
SD,2023/09,22,27.6,16.5,,
SD,2023/10,15.7,21.8,9.5,,
SD,2023/11,7.2,13.7,0.7,,
SD,2023/12,0.8,7.2,-5.5,,
SD,2024/01,0.9,7.4,-5.6,,
SD,2024/02,3.8,10.4,-2.8,,
SD,2024/03,10,16.8,3.2,,
SD,2024/04,15.9,22.7,9,,
SD,2024/05,21.2,27.9,14.4,,
SD,2024/06,25.5,31.4,19.6,,
SD,2024/07,27.7,32.9,22.5,,
SD,2024/08,26.8,31.9,21.7,,
SD,2024/09,22.2,27.8,16.7,,
SD,2024/10,15.9,22,9.7,,
SD,2024/11,7.4,13.9,0.9,,
SD,2024/12,1.1,7.5,-5.2,,
SH,2023/01,6.7,10.8,2.6,,
SH,2023/02,8.7,12.8,4.6,,
SH,2023/03,13.7,18,9.4,,
SH,2023/04,17.7,22,13.5,,
SH,2023/05,22.1,26.3,17.9,,
SH,2023/06,25.3,29,21.5,,
SH,2023/07,29.6,33.3,25.9,,
SH,2023/08,29.4,33,25.8,,
SH,2023/09,25.7,29.6,21.8,,
SH,2023/10,20.2,24.6,15.8,,
SH,2023/11,13.8,18.3,9.3,,
SH,2023/12,7.6,12,3.2,,
SH,2024/01,7,11.1,2.9,,
SH,2024/02,8.5,12.6,4.4,,
SH,2024/03,13.6,17.9,9.3,,
SH,2024/04,17.9,22.2,13.7,,
SH,2024/05,22.2,26.4,18,,
SH,2024/06,25.4,29.1,21.6,,
SH,2024/07,29.7,33.4,26,,
SH,2024/08,29.5,33.1,25.9,,
SH,2024/09,25.8,29.7,21.9,,
SH,2024/10,20.4,24.8,16,,
SH,2024/11,14,18.5,9.5,,
SH,2024/12,7.8,12.2,3.4,,
SX,2023/01,-3.1,4.2,-10.5,,
SX,2023/02,1,8.4,-6.4,,
SX,2023/03,8.1,15.7,0.5,,
SX,2023/04,14.2,22.1,6.3,,
SX,2023/05,19.4,27.2,11.5,,
SX,2023/06,23.6,30.7,16.4,,
SX,2023/07,26.1,32.5,19.7,,
SX,2023/08,24.4,30.8,18,,
SX,2023/09,19.3,26.4,12.2,,
SX,2023/10,11.9,19.3,4.6,,
